Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-07-03,PNQ2-234,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,1,1349.0,Shipment,NEW DELHI,Shipment,1349.0,0.0,1,False,
2025-07-03,PNQ2-238,PS10_OLEDCOMBO_YELLOW,B0DJFL8DBY,yantralay 4 in 1 Carrying Case Pouch with Protective Cover for Nintendo Switch OLED  Non Slip Soft Case Cover  Screen Protectors   Thumb Grips for Swi,1,1104.83,Shipment,PHAGWARa,Shipment,1104.83,0.0,1,False,
2025-07-03,PNQ2-237,ACCHARGERGP5_3,B08LYVPLR9,Yantralay 3 Channel AHDBT 501 Battery Charger for Hero 5 6 7   8 Black Action Camera   USB Cable Included   Fast Charging Dock,1,798.31,Shipment,KOTDWARA,Shipment,798.31,0.0,1,False,
2025-07-04,PNQ2-239,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,1,1308.53,Shipment,GURUGRAM,Shipment,1308.53,0.0,1,False,
2025-07-03,PNQ2-235,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2552.07,Shipment,ANAND,Shipment,2552.07,0.0,1,False,
2025-07-04,PNQ2-240,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,1,1308.53,Shipment,Noida,Shipment,1308.53,0.0,1,False,
2025-07-02,PNQ2-224,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,-905.0,Refund,NOIDA,Refund,-905.0,0.0,0,False,
2025-07-03,PNQ2-233,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,2,2402.0,Shipment,BENGALURU,Shipment,2402.0,0.0,2,False,
2025-07-01,PNQ2-216,S13,B07MG832T8,yantralay Universal 360  Rotating Vertical Mobile Tripod Monopod Mount for Smartphones up to 4 1  Width   Compatible with Samsung  iPhone  Xiaomi  On,1,249.0,Shipment,GYALSHING,Shipment,249.0,0.0,1,False,
2025-07-04,PNQ2-241,GP47_NEW,B0DRYJZ6VH,Yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 For Os,1,1308.53,Shipment,PIMPRI CHINCHWAD,Shipment,1308.53,0.0,1,False,
