Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-08-19,IN-196,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1275.55,Shipment,BENGALURU,Shipment,1275.55,0.0,1,False,
2025-08-19,IN-197,LGONEX5,B0FKYLQ2QZ,Yantralay Accessories for Insta 360 X5   Aluminum Frame  Charger  Lens Guard  Screen Guard  Lens Cap  Silicone Cover  X5 Lens Guard,1,678.03,Shipment,BHUBANESWAR,Shipment,678.03,0.0,1,False,
2025-08-18,IN-189,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1275.55,Shipment,JAMMU,Shipment,1275.55,0.0,1,False,
2025-08-19,IN-194,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1275.55,Shipment,NAVI MUMBAI,Shipment,1275.55,0.0,1,False,
2025-08-20,BOM5-1245,GP45-M,B0F88CFJN2,yantralay Magnetic Camera Mount for Hero 13 12 11 10 9  Insta360 X5 X4 X3  Action 4 5  Osmo Pocket 3   360  Quick Release Car Holder  Heavy Duty Magn,1,1558.79,Shipment,IGATPURI,Shipment,1558.79,0.0,1,False,
2025-08-20,BOM5-1244,GP10_ONEX4_STARTRC,B0DDXP86FQ,yantralay x Startr c Carrying Case for Insta 360 X4 X5  Portable PU Storage Protective Bag Travel Case for Insta 360 X4 X5 Accessories with Large Capa,1,1587.89,Shipment,BENGALURU,Shipment,1587.89,0.0,1,False,
2025-08-20,BOM5-1246,GP10_ONEX4_STARTRC,B0DDXP86FQ,yantralay x Startr c Carrying Case for Insta 360 X4 X5  Portable PU Storage Protective Bag Travel Case for Insta 360 X4 X5 Accessories with Large Capa,1,1587.89,Shipment,SURAT,Shipment,1587.89,0.0,1,False,
2025-08-20,BOM5-1247,GP10_ONEX4_STARTRC,B0DDXP86FQ,yantralay x Startr c Carrying Case for Insta 360 X4 X5  Portable PU Storage Protective Bag Travel Case for Insta 360 X4 X5 Accessories with Large Capa,1,1587.89,Shipment,BENGALURU,Shipment,1587.89,0.0,1,False,
2025-08-13,BOM7-1238,SHOTGRIP_TLS,B0FCSFYHRJ,yantralay x Teles in ShotGrip   Magnetic Camera Grip with Wireless Shutter for Phone 16 15 14 13  Android  1 4  Tripod Mount Compatible  DSLR Style Cr,1,-2375.53,Refund,HARUR,Refund,-2375.53,0.0,0,False,
2025-08-20,PNQ3-512,PS2_RED,B0BL1HF4NJ,yantralay Nylon Controller Gamepad Carry Case   Ultimate Protection Compatible For PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protectio,1,484.03,Shipment,Kolhapur,Shipment,484.03,0.0,1,False,
2025-08-09,BOM7-1179,LGONEX4_PREMIUM,B0DZ13Z8RF,yantralay Lens Protector for Insta360 X4  Removable Optical Glass Lens   Anti Scratch  Insta 360 X4 Accessories,1,-2521.03,Refund,NAGPUR,Refund,-2521.03,0.0,0,False,
2025-08-20,BOM7-1285,GP10_RS4_STARTRC,B0DB1TQPH3,yantralay Portable Carrying Storage Case for DJ I Ronin RS4   RS4 Pro Gimbal EVA Handbag Travel Handheld Shoulder Bag  Grey,1,2624.82,Shipment,PUNE,Shipment,2624.82,0.0,1,False,
2025-08-20,BOM7-1287,IN28_X5,B0F9KX96CY,yantralay Insta 360 X4 X5 Camera Mount Stand Base   Silicone Non Slip Desktop Bracket for Insta 360 X4   X5   Lightweight  Compact   Stable,1,474.33,Shipment,PUNE,Shipment,474.33,0.0,1,False,
2025-08-20,BOM7-1286,PS5_VERTICALSTAND,B0DGTZGCNQ,yantralay 2 in 1 Vertical Stand for PS 5   PS 5 Slim Consoles Non Slip Base Mount for PS 5 Accessories  for PS5   PS5 Slim Digital   Disc Version,1,872.03,Shipment,MUMBAI,Shipment,872.03,0.0,1,False,
2025-08-20,PNQ3-513,GP46-L,B0F91GCRP4,yantralay Double Clamp Mount Bracket with 1 4  Ball Head for Go Pro 13 12 11  Insta 360 X5 X4 X3 Handlebar  Motorcycle  Bicycle  Selfie Stick  Studio,1,1795.47,Shipment,KODAIKANAL,Shipment,1795.47,0.0,1,False,
2025-08-20,BOM5-1248,GP12,B0D7BZ38X8,yantralay Aluminium Car Suction Mount 360  Rotatable for Insta 360 X4 X3 X2  Ace Pro ONE R RS  Hero 13 12 11 10 9 8 7  DJI Osmo Action Series   All O,1,1252.27,Shipment,NAVI MUMBAI,Shipment,1252.27,0.0,1,False,
2025-08-21,BOM5-1249,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,1,1164.97,Shipment,MANJERI,Shipment,1164.97,0.0,1,False,
2025-08-21,PNQ3-514,PS2_BLUE,B0BL1H24P4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,484.03,Shipment,BARARA,Shipment,484.03,0.0,1,False,
2025-08-15,BOM7-1248,GP10_OM6_STARTRCN,B09HRM8R6B,STARTRC Case Polyurethane  PU  Waterproof Portable Storge Shoulder Bag TravelMate Case for DJI Osmo Mobile 6 Gimbal Stabilizer,1,-1163.03,Refund,NASIRABAD,Refund,-1163.03,0.0,0,False,
2025-08-15,BOM7-1251,PS5_CC1_GREY,B0BRJMPHKL,yantralay PS5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Station Accessories   Travel Bag   Grey,1,-2375.53,Refund,pune,Refund,-2375.53,0.0,0,False,
2025-08-13,BOM5-1173,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,-1308.53,Refund,GURUGRAM,Refund,-1308.53,0.0,0,False,
2025-08-21,BOM5-1251,GP46-L,B0F91GCRP4,yantralay Double Clamp Mount Bracket with 1 4  Ball Head for Go Pro 13 12 11  Insta 360 X5 X4 X3 Handlebar  Motorcycle  Bicycle  Selfie Stick  Studio,1,1795.47,Shipment,MOHALI,Shipment,1795.47,0.0,1,False,
2025-08-21,BOM5-1250,GP47-M,B0F91SSVW8,yantralay Action Camera Handlebar Mount with 360  Dual Ball Head   Super Clamp for Go Pro  Insta 360  Mobile  Bike  Motorcycle   Universal Quick Rele,1,1701.38,Shipment,NEW DELHI,Shipment,1701.38,0.0,1,False,
2025-08-21,BOM7-1288,GP46-M_GP46-S_GP25_150CMS,B0F99WWGGT,yantralay Motorcycle Handlebar Clamp Kit with Dual Clamp Mounts   Invisible Selfie Stick for Insta 360 X4 X3 X2 One RS GO 3   Bike Action Camera Mount,1,4078.98,Shipment,CHAKIA,Shipment,4078.98,0.0,1,False,
2025-08-13,BOM5-1166,LGONEX4,B0F7RT4HGJ,yantralay 2Pcs Lens Guard for Insta 360 X4   Scratch Resistant Protective Lens Cover   High Transparency Optical Coated Cap   Insta 360 X4 Camera Acce,1,-775.03,Refund,LUDHIANA,Refund,-775.03,0.0,0,False,
2025-08-21,BOM7-1289,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,BENGALURU,Shipment,2375.53,0.0,1,False,
2025-08-18,BOM7-1275,PS5SLIM_CC1_GREY,B0DDQFP6NL,yantralay Carrying case for PS 5 Slim Console Gamepad Controller Headphone VR Travel Bag  Playstatio n 5 Slim Accessories   Grey,1,-2173.77,Refund,HYDERABAD,Refund,-2173.77,0.0,0,False,
2025-08-08,BOM7-1167,PS5SLIM_CC1_GREY,B0DDQFP6NL,yantralay Carrying case for PS 5 Slim Console Gamepad Controller Headphone VR Travel Bag  Playstatio n 5 Slim Accessories   Grey,1,-2230.03,Refund,NEW DELHI,Refund,-2230.03,0.0,0,False,
2025-08-21,BOM5-1252,SHOTGRIP_TLSN,B0F66YYCTQ,Magnetic Phone Camera Grip  Smartphone Shooting Holder Selfie Handle Snap with Wireless Shutter Button Remote for iPhone 16 15 14 13 12 Pro Max Androi,1,2375.53,Shipment,CHENNAI,Shipment,2375.53,0.0,1,False,
2025-08-21,BOM5-1255,ACFRAMEGP13_AL,B0F93ZW44W,Yantralay Premium Aluminum Protective Case for Go Pro Hero13 12 11 10 9 Tough Aluminum Cage Maximum Protection with Minimal Weight Accessory,1,2599.6,Shipment,THIRUVANANTHAPURAM,Shipment,2599.6,0.0,1,False,
2025-08-21,BOM7-1291,GP12,B0D7BZ38X8,yantralay Aluminium Car Suction Mount 360  Rotatable for Insta 360 X4 X3 X2  Ace Pro ONE R RS  Hero 13 12 11 10 9 8 7  DJI Osmo Action Series   All O,1,1252.27,Shipment,MUMBAI,Shipment,1252.27,0.0,1,False,
2025-08-21,BOM5-1253,GP31,B09MTYMKR1,Yantralay Underwater Snorkel Glasses Diving Mount for Hero 12 11 10 9 8  SJCAM  DJI Osmo Action 3   4   Ideal for Scuba Diving   Underwater Photograph,1,1163.03,Shipment,NEW RAIPUR,Shipment,1163.03,0.0,1,False,
2025-08-21,BOM7-1292,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,AHMEDABAD,Shipment,2375.53,0.0,1,False,
2025-08-21,BOM7-1290,LGONEX4,B0F7RT4HGJ,yantralay 2Pcs Lens Guard for Insta 360 X4   Scratch Resistant Protective Lens Cover   High Transparency Optical Coated Cap   Insta 360 X4 Camera Acce,1,755.63,Shipment,POLADPUR,Shipment,755.63,0.0,1,False,
2025-08-21,PNQ3-516,PS2_YELLOW,B0BL1HQ3C4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,484.03,Shipment,PUNE,Shipment,484.03,0.0,1,False,
2025-08-21,PNQ3-515,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,877.85,Shipment,PIMPRI CHINCHWAD,Shipment,877.85,0.0,1,False,
2025-08-21,BOM5-1257,ACCHARGERONEX4_3_AMG,B0DWLH6MJ3,Yantralay x amagisn 3 Slot Battery Charger Compatible for Insta360 X4 Camera  Charging Dock for X4 Accessories,1,1381.28,Shipment,Sawantwadi,Shipment,1381.28,0.0,1,False,
2025-08-12,BOM5-1144,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,-920.53,Refund,delhi,Refund,-920.53,0.0,0,False,
2025-08-21,BOM7-1296,GP12,B0D7BZ38X8,yantralay Aluminium Car Suction Mount 360  Rotatable for Insta 360 X4 X3 X2  Ace Pro ONE R RS  Hero 13 12 11 10 9 8 7  DJI Osmo Action Series   All O,1,1252.27,Shipment,PUNE,Shipment,1252.27,0.0,1,False,
2025-08-21,BOM5-1256,GP46-S,B0F91G6H93,yantralay Double Clamp Mount Bracket with 1 4  Ball Head for GoPro  Insta 360 X2 X3  Action Cameras   Handlebar  Motorcycle  Bicycle  Selfie Stick  St,1,1606.32,Shipment,NAGAON,Shipment,1606.32,0.0,1,False,
2025-08-21,BOM5-1254,GP47_NEW,B0DRYJZ6VH,nan,1,0.0,Cancel,HYDERABAD,Cancel,0.0,0.0,0,False,
2025-08-22,BOM7-1298,PS5_VERTICALSTAND,B0DGTZGCNQ,yantralay 2 in 1 Vertical Stand for PS 5   PS 5 Slim Consoles Non Slip Base Mount for PS 5 Accessories  for PS5   PS5 Slim Digital   Disc Version,1,872.03,Shipment,SRINAGAR,Shipment,872.03,0.0,1,False,
2025-08-22,BOM5-1259,GP45-M,B0F88CFJN2,yantralay Magnetic Camera Mount for Hero 13 12 11 10 9  Insta360 X5 X4 X3  Action 4 5  Osmo Pocket 3   360  Quick Release Car Holder  Heavy Duty Magn,1,1558.79,Shipment,Bengaluru,Shipment,1558.79,0.0,1,False,
