Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-09-05,BOM7-1479,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2552.07,Shipment,HSIIDC SOHNA,Shipment,2552.07,0.0,1,False,
2025-09-04,BOM7-1463,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,-1260.03,Refund,Hyderabad,Refund,-1260.03,0.0,0,False,
2025-09-06,BOM7-1491,GP46-M_GP46-S_GP25_150CMS,B0F99WWGGT,yantralay Motorcycle Handlebar Clamp Kit with Dual Clamp Mounts   Invisible Selfie Stick for Insta 360 X4 X3 X2 One RS GO 3   Bike Action Camera Mount,1,4254.42,Shipment,MUMBAI,Shipment,4254.42,0.0,1,False,
2025-09-06,BOM5-1365,IN28_X5,B0F9KX96CY,yantralay Insta 360 X4 X5 Camera Mount Stand Base   Silicone Non Slip Desktop Bracket for Insta 360 X4   X5   Lightweight  Compact   Stable,1,474.33,Shipment,GHAZIABAD,Shipment,474.33,0.0,1,False,
2025-09-06,BOM5-1366,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,877.85,Shipment,KALYAN,Shipment,877.85,0.0,1,False,
2025-09-06,BOM7-1489,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,1260.03,Shipment,RAIPUR,Shipment,1260.03,0.0,1,False,
2025-09-06,BOM7-1494,PS5_CC1_BLACK,B0BRJM4R9Q,nan,1,0.0,Cancel,NEW DELHI,Cancel,0.0,0.0,0,False,
2025-09-05,BOM7-1484,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,1260.03,Shipment,BENGALURU,Shipment,1260.03,0.0,1,False,
2025-09-06,BOM7-1492,PS10_PS5PORTALCOMBO,B0DF2Z2X1Q,yantralay 6 in 1 Hard Carrying Case with Protective Cover for Play Station 5 Portal  Non Slip Soft Case Cover   Screen Protectors   Thumb Grips for PS,1,2007.9,Shipment,Bangalore,Shipment,2007.9,0.0,1,False,
2025-09-06,BOM7-1495,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2454.53,Shipment,NEW DELHI,Shipment,2454.53,0.0,1,False,
2025-09-06,BOM7-1490,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,Jagdalpur,Shipment,2375.53,0.0,1,False,
2025-09-06,BOM5-1369,GP10_ACEPRO_STARTRC,B0CVQHCGFS,yantralay Polyurethane Portable Protective Carrying Case For Insta360 Ace Ace Pro Action Camera   Accessories   Double Protection  Lightweight With Sh,1,1657.73,Shipment,GURUGRAM,Shipment,1657.73,0.0,1,False,
2025-09-06,BOM7-1497,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,1,1164.97,Shipment,RAM NAGAR INDUSTRIAL AREA,Shipment,1164.97,0.0,1,False,
2025-09-04,BOM7-1470,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,-2552.07,Refund,MUMBAI,Refund,-2552.07,0.0,0,False,
